characterID,Name,Team,isDead,isCaptured,isHurt,title,prefix
1351,Quentyn Martell,Martell,0,0,0,prince,Prince 
1358,Qyburn,Brave Companions,0,0,0,maester,Maester 
1361,Rafford,Lannister,0,0,0,,
1369,Ralf Kenning,Greyjoy,0,0,0,,
1371,Ramsay Snow,Bolton (North),0,0,0,,
1373,Randyll Tarly,Renly,0,0,0,Lord of Horn Hill,Lord 
1376,Rattleshirt,Wildlings (north of wall),0,0,0,,
1382,Raymun Darry,Robert,0,0,0,lord of Darry,Lord 
1384,Raymund Frey,Frey (North),0,0,0,knight,Ser 
1393,Reek,Bolton (Lannister),0,0,0,,
1396,Renly Baratheon,Renly,0,0,0,Lord of Storm's End,Lord 
1401,Reznak mo Reznak,Targaryen,0,0,0,,
1403,Rhaegar Frey,Frey (Lannister),0,0,0,,
1404,Rhaegar Targaryen,Targaryen,1,0,0,prince,Prince 
1406,Rhaego,Targaryen,0,0,0,,
1411,Rhaenys Targaryen,Targaryen,1,0,0,Queen of Westeros,Queen 
1420,Rickard Karstark,Stark,0,0,0,Lord of Karhold,Lord 
1422,Rickard Stark,Stark,1,0,0,,
1426,Rickon Stark,Stark,0,0,0,,
1429,Robar Royce,Renly,0,0,0,,
1431,Robb Stark,Stark,0,0,0,,
1432,Robert Arryn,Robert,0,0,0,,
1434,Robert Baratheon,Robert,0,0,0,King of Westeros,King 
1441,Robett Glover,Stark,0,0,0,,
1451,Rodrik Cassel,Stark,0,0,0,,
1465,Roland Crakehall,Lannister,0,0,0,Lord of Crakehall,Lord 
1486,Roose Bolton,Bolton (North),0,0,0,,
1488,Rorge,none,0,0,0,,
1501,Rupert Brax,Lannister,0,0,0,,
1513,Ryles,Night Watch,1,0,0,,
1514,Ryman Frey,Frey (North),0,0,0,knight,Ser 
1520,Salladhor Saan,Stannis,0,0,0,,
1527,Samwell Tarly,Night Watch,0,0,0,,
1528,Sandor Clegane,Lannister,0,0,0,member of the King's Guard,
1530,Sansa Stark,Stark,0,0,0,,Lady 
1535,Satin,Night Watch,0,0,0,,
1536,Sawane Botley,Greyjoy,0,0,0,Lord of Lordsport,Lord 
1545,Selyse Florent,Stannis,0,0,0,lady,Lady 
1546,Senelle,Lannister,0,0,0,,
1552,Shae,Tyrion,0,0,0,,
1553,Shagga,Mountain clans,0,0,0,,
1554,Shagwell,Brave Companions,0,0,0,,
1562,Shireen Baratheon,Stannis,0,0,0,,
1573,Skahaz mo Kandaq,Targaryen,0,0,0,,
1580,Softfoot,Night Watch,0,0,0,,
1584,Stafford Lannister,Lannister,0,0,0,,
1586,Stannis Baratheon,Stannis,0,0,0,Lord of Dragonstone,Lord 
1598,Stevron Frey,Frey (North),0,0,0,knight,Ser 
1599,Stiv,Wildlings (north of wall),0,0,0,,
1604,Styr,Wildlings (north of wall),0,0,0,,
1619,Symond Frey,Frey (Lannister),0,0,0,,
1621,Syrio Forel,Stark,0,0,0,,
1622,Taena of Myr,Lannister,0,0,0,,
1890,Talbert Serry,Tyrell,0,0,0,knight,Ser 
2068,the Others,the Others,0,0,0,,
1648,Theon Greyjoy,Greyjoy,0,0,0,,
1650,Thistle,Wildling refugees,0,0,0,,
1653,Thoros of Myr,Red God,0,0,0,,
1656,Tickler,Lannister,0,0,0,,
1659,Timeon,Brave Companions,0,0,0,,
1660,Timett,Mountain clans,0,0,0,,
1664,Tion Frey,Frey (North),0,0,0,,
1673,Tom of Sevenstreams,Brotherhood without Banners,0,0,0,,
1676,Tommen Baratheon,Lannister,0,0,0,,
1681,Tormund,Wildlings (north of wall),0,0,0,,
1684,Torrhen Karstark,Stark,0,0,0,,
1716,Tyrion Lannister,Tyrion,0,0,0,,
1719,Tysha,Tyrion,0,0,0,,
1723,Tytos Frey,Frey (Lannister),0,0,0,knight,Ser 
1727,Tywin Lannister,Lannister,0,0,0,,
1749,Utt,Brave Companions,0,0,0,septon,Septon 
1751,Val,Wildlings (north of wall),0,0,0,,
1753,Varamyr,Wildlings (north of wall),0,0,0,,
1754,Vardis Egen,Stark,0,0,0,,
1755,Vargo Hoat,Brave Companions,0,0,0,,
1756,Varly,Stark,0,0,0,,
1757,Varys,none,0,0,0,Master of whisperers,Lord 
1758,Vayon Poole,Stark,0,0,0,,
1763,Victarion Greyjoy,Greyjoy,0,0,0,Lord captain of the Iron Fleet,Lord
1770,Viserys Targaryen,Targaryen,0,0,0,,
975,Walder Frey,Frey (North),0,0,0,Lord of the Crossing,Lord 
1782,Walder Frey (Little),Frey (North),0,0,0,,
1808,Waymar Royce,Night Watch,0,0,0,knight,Ser 
1811,Weeper,Wildlings (north of wall),0,0,0,,
1812,Weese,Lannister,0,0,0,,
1825,Will,Night Watch,0,0,0,,
1840,Willas Tyrell,Tyrell,0,0,0,,
1843,Willem Lannister,Lannister,0,0,0,,
1857,Wylis Manderly,Stark,0,0,0,knight,Ser 
1860,Wyman Manderly,Stark,0,0,0,Lord of White Harbor,Lord 
1867,Yellow Dick,Bolton (Lannister),0,0,0,,
1869,Ygritte,Wildlings (north of wall),0,0,0,,
1872,Yohn Royce,Stark,0,0,0,Lord of Runestone,Lord 
1873,Yoren,Night Watch,0,0,0,,
2037,Yurkhaz zo Yunzak,Essos,0,0,0,,
1155,Moqorro,Red God,0,0,0,priest of the Red God,
1522,Sallor the Bald,Stormcrows,0,0,0,captain,
1320,Prendahl na Ghezn,Stormcrows,0,0,0,captain,
2000,Others,Others,0,0,0,,
